season,week,team,points_for,points_against,win
2023,14,CIN,29,26,1
2023,15,CIN,36,16,1
2023,16,CIN,13,15,0
2023,17,CIN,27,25,1
2023,1,BUF,15,26,0
2023,2,BUF,14,29,0
2023,3,BUF,43,24,1
2023,4,BUF,27,18,1
2023,5,BUF,10,17,0
2023,6,BUF,15,11,1
2023,7,BUF,35,23,1
2023,8,BUF,26,19,1
2023,9,BUF,22,28,0
2023,10,BUF,23,25,0
2023,11,BUF,22,19,1
2023,12,BUF,13,7,1
2023,13,BUF,21,21,0
2023,14,BUF,14,21,0
2023,15,BUF,23,6,1
2023,16,BUF,17,24,0
2023,17,BUF,26,13,1
2023,1,KC,30,26,1
2023,2,KC,23,18,1
2023,3,KC,19,24,0
2023,4,KC,25,25,0
2023,5,KC,24,27,0
2023,6,KC,24,26,0
2023,7,KC,29,15,1
2023,8,KC,11,32,0
2023,9,KC,25,9,1
2023,10,KC,18,26,0
2023,11,KC,21,17,1
2023,12,KC,33,14,1
2023,13,KC,18,22,0
2023,14,KC,26,24,1
2023,15,KC,30,22,1
2023,16,KC,27,19,1
2023,17,KC,24,22,1
2023,1,GB,29,25,1
2023,2,GB,24,15,1
2023,3,GB,24,20,1
2023,4,GB,25,36,0
2023,5,GB,20,24,0
2023,6,GB,31,21,1
2023,7,GB,40,18,1
2023,8,GB,26,15,1
2023,9,GB,21,22,0
2023,10,GB,29,23,1
2023,11,GB,32,20,1
2023,12,GB,21,40,0
2023,13,GB,26,16,1
2023,14,GB,19,14,1
2023,15,GB,30,18,1
2023,16,GB,24,20,1
2023,17,GB,29,15,1
2023,1,DET,19,30,0
2023,2,DET,19,20,0
2023,3,DET,22,21,1
2023,4,DET,13,19,0
2023,5,DET,26,30,0
2023,6,DET,21,35,0
2023,7,DET,37,14,1
2023,8,DET,12,21,0
2023,9,DET,11,18,0
2023,10,DET,15,17,0
2023,11,DET,19,26,0
2023,12,DET,20,29,0
2023,13,DET,21,23,0
2023,14,DET,32,27,1
2023,15,DET,6,19,0
2023,16,DET,6,26,0
2023,17,DET,16,23,0
2023,1,PHI,36,19,1
2023,2,PHI,26,6,1
2023,3,PHI,33,15,1
2023,4,PHI,20,12,1
2023,5,PHI,33,12,1
2023,6,PHI,27,10,1
2023,7,PHI,31,14,1
2023,8,PHI,37,21,1
2023,9,PHI,30,10,1
2023,10,PHI,36,18,1
2023,11,PHI,30,19,1
2023,12,PHI,39,22,1
2023,13,PHI,45,7,1
2023,14,PHI,33,14,1
2023,15,PHI,32,9,1
2023,16,PHI,22,14,1
2023,17,PHI,27,14,1
2023,1,SF,11,26,0
2023,2,SF,20,29,0
2023,3,SF,34,27,1
2023,4,SF,22,17,1
2023,5,SF,10,36,0
2023,6,SF,12,17,0
2023,7,SF,18,24,0
2023,8,SF,12,23,0
2023,9,SF,27,19,1
2023,10,SF,9,31,0
2023,11,SF,22,20,1
2023,12,SF,7,19,0
2023,13,SF,18,33,0
2023,14,SF,11,24,0
2023,15,SF,23,8,1
2023,16,SF,26,16,1
2023,17,SF,21,26,0
2023,1,BAL,32,6,1
2023,2,BAL,22,18,1
2023,3,BAL,27,21,1
2023,4,BAL,33,21,1
2023,5,BAL,26,6,1
2023,6,BAL,25,20,1
2023,7,BAL,20,22,0
2023,8,BAL,34,18,1
2023,9,BAL,6,8,0
2023,10,BAL,41,13,1
2023,11,BAL,14,26,0
2023,12,BAL,28,25,1
2023,13,BAL,30,20,1
2023,14,BAL,30,22,1
2023,15,BAL,44,24,1
2023,16,BAL,17,20,0
2023,17,BAL,36,26,1
2023,1,MIA,29,30,0
2023,2,MIA,38,18,1
2023,3,MIA,17,21,0
2023,4,MIA,17,17,0
2023,5,MIA,6,20,0
2023,6,MIA,23,20,1
2023,7,MIA,34,23,1
2023,8,MIA,29,25,1
2023,9,MIA,26,25,1
2023,10,MIA,30,24,1
2023,11,MIA,24,26,0
2023,12,MIA,18,26,0
2023,13,MIA,36,21,1
2023,14,MIA,23,32,0
2023,15,MIA,28,23,1
2023,16,MIA,6,27,0
2023,17,MIA,6,33,0
2023,1,DAL,30,15,1
2023,2,DAL,12,23,0
2023,3,DAL,23,17,1
2023,4,DAL,24,40,0
2023,5,DAL,29,28,1
2023,6,DAL,29,31,0
2023,7,DAL,22,6,1
2023,8,DAL,22,27,0
2023,9,DAL,17,20,0
2023,10,DAL,19,31,0
2023,11,DAL,29,25,1
2023,12,DAL,28,21,1
2023,13,DAL,25,13,1
2023,14,DAL,8,22,0
2023,15,DAL,26,29,0
2023,16,DAL,34,32,1
2023,17,DAL,16,18,0
2023,1,MIN,43,30,1
2023,2,MIN,33,17,1
2023,3,MIN,19,25,0
2023,4,MIN,17,18,0
2023,5,MIN,24,31,0
2023,6,MIN,22,6,1
2023,7,MIN,28,15,1
2023,8,MIN,25,19,1
2023,9,MIN,23,25,0
2023,10,MIN,14,16,0
2023,11,MIN,30,15,1
2023,12,MIN,14,24,0
2023,13,MIN,33,19,1
2023,14,MIN,11,25,0
2023,15,MIN,13,22,0
2023,16,MIN,19,11,1
2023,17,MIN,22,18,1
2024,1,CHI,23,21,1
2024,2,CHI,26,26,0
2024,3,CHI,14,18,0
2024,4,CHI,8,26,0
2024,5,CHI,17,7,1
2024,6,CHI,16,18,0
2024,7,CHI,30,12,1
2024,8,CHI,9,32,0
2024,9,CHI,29,19,1
2024,10,CHI,15,28,0
2024,11,CHI,6,11,0
2024,12,CHI,17,35,0
2024,13,CHI,16,25,0
2024,14,CHI,27,39,0
2024,15,CHI,15,24,0
2024,16,CHI,32,13,1
2024,17,CHI,26,17,1
2024,1,CIN,21,14,1
2024,2,CIN,16,23,0
2024,3,CIN,30,20,1
2024,4,CIN,24,25,0
2024,5,CIN,16,26,0
2024,6,CIN,29,39,0
2024,7,CIN,20,18,1
2024,8,CIN,28,27,1
2024,9,CIN,19,18,1
2024,10,CIN,27,15,1
2024,11,CIN,20,22,0
2024,12,CIN,30,17,1
2024,13,CIN,10,8,1
2024,14,CIN,14,12,1
2024,15,CIN,22,13,1
2024,16,CIN,18,16,1
2024,17,CIN,20,30,0
2024,1,BUF,26,16,1
2024,2,BUF,23,21,1
2024,3,BUF,30,12,1
2024,4,BUF,26,6,1
2024,5,BUF,27,24,1
2024,6,BUF,24,32,0
2024,7,BUF,20,20,0
2024,8,BUF,26,18,1
2024,9,BUF,25,20,1
2024,10,BUF,32,28,1
2024,11,BUF,26,25,1
2024,12,BUF,21,24,0
2024,13,BUF,20,26,0
2024,14,BUF,41,18,1
2024,15,BUF,10,15,0
2024,16,BUF,34,23,1
2024,17,BUF,28,26,1
2024,1,KC,33,26,1
2024,2,KC,36,22,1
2024,3,KC,31,17,1
2024,4,KC,21,32,0
2024,5,KC,26,25,1
2024,6,KC,26,15,1
2024,7,KC,25,30,0
2024,8,KC,29,8,1
2024,9,KC,23,32,0
2024,10,KC,23,7,1
2024,11,KC,38,24,1
2024,12,KC,24,17,1
2024,13,KC,32,16,1
2024,14,KC,33,23,1
2024,15,KC,27,21,1
2024,16,KC,24,27,0
2024,17,KC,19,8,1
2024,1,GB,30,22,1
2024,2,GB,28,17,1
2024,3,GB,31,19,1
2024,4,GB,22,17,1
2024,5,GB,40,7,1
2024,6,GB,29,7,1
2024,7,GB,25,16,1
2024,8,GB,11,22,0
2024,9,GB,23,6,1
2024,10,GB,31,29,1
2024,11,GB,36,22,1
2024,12,GB,26,28,0
2024,13,GB,37,27,1
2024,14,GB,19,20,0
2024,15,GB,29,6,1
2024,16,GB,29,35,0
2024,17,GB,30,29,1
2024,1,DET,23,23,0
2024,2,DET,18,14,1
2024,3,DET,32,30,1
2024,4,DET,16,28,0
2024,5,DET,23,23,0
2024,6,DET,27,28,0
2024,7,DET,24,31,0
2024,8,DET,26,25,1
2024,9,DET,18,36,0
2024,10,DET,27,26,1
2024,11,DET,12,15,0
2024,12,DET,32,23,1
2024,13,DET,10,28,0
2024,14,DET,20,31,0
2024,15,DET,23,22,1
2024,16,DET,32,14,1
2024,17,DET,16,19,0
2024,1,PHI,17,7,1
2024,2,PHI,32,14,1
2024,3,PHI,24,6,1
2024,4,PHI,22,18,1
2024,5,PHI,33,13,1
2024,6,PHI,38,13,1
2024,7,PHI,22,29,0
2024,8,PHI,28,14,1
2024,9,PHI,26,28,0
2024,10,PHI,37,12,1
2024,11,PHI,26,19,1
2024,12,PHI,20,18,1
2024,13,PHI,27,26,1
2024,14,PHI,35,16,1
2024,15,PHI,25,23,1
2024,16,PHI,23,22,1
2024,17,PHI,26,11,1
2024,1,SF,28,24,1
2024,2,SF,29,22,1
2024,3,SF,20,42,0
2024,4,SF,10,12,0
2024,5,SF,27,20,1
2024,6,SF,18,21,0
2024,7,SF,20,19,1
2024,8,SF,16,28,0
2024,9,SF,11,20,0
2024,10,SF,15,15,0
2024,11,SF,15,26,0
2024,12,SF,15,23,0
2024,13,SF,18,21,0
2024,14,SF,23,35,0
2024,15,SF,14,29,0
2024,16,SF,16,28,0
2024,17,SF,29,29,0
2024,1,BAL,17,37,0
2024,2,BAL,12,36,0
2024,3,BAL,9,18,0
2024,4,BAL,15,16,0
2024,5,BAL,12,38,0
2024,6,BAL,6,20,0
2024,7,BAL,6,28,0
2024,8,BAL,11,38,0
2024,9,BAL,20,32,0
2024,10,BAL,15,31,0
2024,11,BAL,8,35,0
2024,12,BAL,6,34,0
2024,13,BAL,22,30,0
2024,14,BAL,12,31,0
2024,15,BAL,6,31,0
2024,16,BAL,13,28,0
2024,17,BAL,19,28,0
2024,1,MIA,16,27,0
2024,2,MIA,18,27,0
2024,3,MIA,24,18,1
2024,4,MIA,18,35,0
2024,5,MIA,6,27,0
2024,6,MIA,13,23,0
2024,7,MIA,10,25,0
2024,8,MIA,30,17,1
2024,9,MIA,9,17,0
2024,10,MIA,29,23,1
2024,11,MIA,17,23,0
2024,12,MIA,10,24,0
2024,13,MIA,34,36,0
2024,14,MIA,11,31,0
2024,15,MIA,11,14,0
2024,16,MIA,24,34,0
2024,17,MIA,24,23,1
2024,1,DAL,27,25,1
2024,2,DAL,19,11,1
2024,3,DAL,22,30,0
2024,4,DAL,13,27,0
2024,5,DAL,24,27,0
2024,6,DAL,28,17,1
2024,7,DAL,10,18,0
2024,8,DAL,28,18,1
2024,9,DAL,17,9,1
2024,10,DAL,34,28,1
2024,11,DAL,27,29,0
2024,12,DAL,26,20,1
2024,13,DAL,21,19,1
2024,14,DAL,40,26,1
2024,15,DAL,18,25,0
2024,16,DAL,15,33,0
2024,17,DAL,17,26,0
2024,1,MIN,31,18,1
2024,2,MIN,28,17,1
2024,3,MIN,24,14,1
2024,4,MIN,38,16,1
2024,5,MIN,22,14,1
2024,6,MIN,36,22,1
2024,7,MIN,32,15,1
2024,8,MIN,32,13,1
2024,9,MIN,26,24,1
2024,10,MIN,34,10,1
2024,11,MIN,22,18,1
2024,12,MIN,40,6,1
2024,13,MIN,30,8,1
2024,14,MIN,23,15,1
2024,15,MIN,25,13,1
2024,16,MIN,28,13,1
2024,17,MIN,18,23,0
