player,team,targets,receptions,receiving_yards,receiving_tds,games,fantasy_points,fantasy_points_per_game,target_share_pct,catch_rate_pct,yards_per_target,td_rate_pct,yards_per_game,target_share_pct_z,catch_rate_pct_z,yards_per_target_z,td_rate_pct_z,yards_per_game_z,opportunity_efficiency_score,score_0_100
Mike Evans,TB,110,74,1004,11,14,166.4,11.9,19.6,67.27272727272727,9.127272727272727,10.0,71.71428571428571,-0.9751505211230282,-0.05181803281496901,0.16203120661271433,1.5088431512530405,-0.03165770277794606,-0.04892470430609523,49.51075295693905
Jaxon Smith-Njigba,SEA,137,100,1130,6,17,153.0,9.0,24.1,72.99270072992701,8.248175182481752,4.37956204379562,66.47058823529412,0.14378605244940515,1.1225050255257487,-0.5153721814083917,-1.0593173332325403,-0.4950431382664094,-0.06859168616654947,49.3140831383345
Jayden Reed,GB,75,55,857,6,17,142.0,8.4,16.1,73.33333333333333,11.426666666666666,8.0,50.411764705882355,-1.8454345227904765,1.1924376438492086,1.933867852238895,0.5949782515789507,-1.9141610344498292,-0.1262466750501539,48.73753324949846
CeeDee Lamb,DAL,152,101,1194,6,15,162.4,10.8,24.4,66.44736842105263,7.855263157894737,3.9473684210526314,79.6,0.21838182402089998,-0.2212660098343658,-0.8181371455771422,-1.2568006240764418,0.6652027021297052,-0.23110577216804215,47.68894227831958
Jameson Williams,DET,91,58,1001,7,15,154.2,10.3,17.4,63.73626373626373,11.0,7.6923076923076925,66.73333333333333,-1.5221861793139964,-0.7778617298574724,1.6050926813056243,0.45438365162909083,-0.471824359501015,-0.29382576968535706,47.06174230314643
Tee Higgins,CIN,109,73,911,10,12,149.1,12.4,17.5,66.97247706422019,8.357798165137615,9.174311926605505,75.91666666666667,-1.4973209221234975,-0.11346005716346767,-0.43090034970316626,1.131559477075664,0.3397066132431915,-0.3373784444625477,46.62621555537452
DJ Moore,CHI,140,98,966,6,17,140.1,8.2,26.3,70.0,6.9,4.285714285714286,56.8235294117647,0.6908217106403723,0.5080970216839121,-1.5542312268812797,-1.102199419244359,-1.3475535227868525,-0.3694432691520435,46.30556730847957
Garrett Wilson,NYJ,154,101,1104,7,17,150.9,8.9,26.2,65.5844155844156,7.1688311688311686,4.545454545454546,64.94117647058823,0.6659564534498735,-0.3984321141714149,-1.3470788515266114,-0.9835156660399315,-0.6301972236172115,-0.39137219055321465,46.08627809446785
Davante Adams,NYJ,141,85,1063,8,14,156.3,11.2,23.8,60.28368794326241,7.539007092198582,5.673758865248227,75.92857142857143,0.0691902808779094,-1.4866830897340835,-1.0618335722754328,-0.4679568090348841,0.3407586368013248,-0.5080259739735644,44.919740260264355
Jordan Addison,MIN,99,63,875,9,15,149.5,10.0,19.1,63.63636363636363,8.83838383838384,9.090909090909092,58.333333333333336,-1.0994768070755208,-0.7983714388134747,-0.06057698204002068,1.0934500150375455,-1.2141321821200346,-0.5197350513557286,44.80264948644272
Courtland Sutton,DEN,135,81,1081,8,17,159.3,9.4,24.4,60.0,8.007407407407408,5.9259259259259265,63.588235294117645,0.21838182402089998,-1.5449248448119803,-0.7008998370457924,-0.35273349623121625,-0.7497566068121515,-0.5490239046217897,44.509760953782106
Jerry Jeudy,CLE,145,90,1229,4,17,150.9,8.9,22.8,62.06896551724138,8.475862068965517,2.7586206896551726,72.29411764705883,-0.17946229102707578,-1.1201617000197264,-0.3399242243233195,-1.7999780372221121,0.019582032877029056,-0.6129152728284945,43.87084727171506
Tyreek Hill,MIA,123,81,959,6,17,137.2,8.1,21.8,65.85365853658537,7.796747967479675,4.878048780487805,56.411764705882355,-0.42811486293206097,-0.3431559473509691,-0.8632270090089509,-0.8315425674245066,-1.3839411611505295,-0.7020336094378578,42.97966390562142
